session_urlr_id,link_id,code,mathadata_id,mathadata_title,resource_slug,start,end,sy,date,active_hours,clicks,n_visiteurs_uniques_urlr,usage_classe_estime,seance_riche_estimee,grande_classe_estimee,capytale_observable,n_sessions_capytale_simultanees,max_eleves_capytale_simultanes,mode_historique,n_sessions_capytale_pm1h,max_eleves_capytale_pm1h,mode_sensibilite_pm1h,mode_exploratoire_clics,indeterminate_reason
U0199,e863593d-1634-433a-9412-38d5f4cd06f3,TSD4cy,5862412,MathAData - Droite et produit scalaire pour la classification d'images - 1ere,geometry1eredroiteproduitscalaire-mnist,2026-01-12 14:00:00+01:00,2026-01-12 15:00:00+01:00,2025-2026,2026-01-12,1,1,1,False,False,False,True,0,0,indetermine,0,0,indetermine,indetermine,petite_salve_sans_capytale
U0042,368b3e07-48f8-4e8d-a63d-af498fe9adb6,w9RWJk,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,stats-moyenne-histogramme-mnist,2026-01-13 07:00:00+01:00,2026-01-13 11:00:00+01:00,2025-2026,2026-01-13,3,43,26,True,True,True,True,0,0,compatible_remplacement,0,0,compatible_remplacement,compatible_remplacement,
U0147,cb7d460c-0f1b-49bd-b2a2-8e3403b14a8b,kaAxEq,3515488,MathAData - Équation réduite de droite pour la classification d'images de chiffres - 2nde,geometry2ndeequationdroite-mnist,2026-01-13 08:00:00+01:00,2026-01-13 09:00:00+01:00,2025-2026,2026-01-13,1,1,1,False,False,False,True,0,0,indetermine,0,0,indetermine,indetermine,petite_salve_sans_capytale
U0200,e863593d-1634-433a-9412-38d5f4cd06f3,TSD4cy,5862412,MathAData - Droite et produit scalaire pour la classification d'images - 1ere,geometry1eredroiteproduitscalaire-mnist,2026-01-13 08:00:00+01:00,2026-01-13 09:00:00+01:00,2025-2026,2026-01-13,1,1,1,False,False,False,True,0,0,indetermine,0,0,indetermine,indetermine,petite_salve_sans_capytale
U0134,b7c1fd64-4280-4af2-9e78-4880a6a88c84,e9tZ56,6659633,"MathAData- Géométrie repérée, milieu, distance, pour la classification d'images de chiffres - 2nde",geometry2ndemilieudistance-mnist,2026-01-13 08:00:00+01:00,2026-01-13 09:00:00+01:00,2025-2026,2026-01-13,1,1,1,False,False,False,True,0,0,indetermine,0,0,indetermine,indetermine,petite_salve_sans_capytale
U0016,3231d7db-d3b8-4957-8bae-53db8691bbba,cNQxSu,6944347,MathAData - Statistiques pour surveiller la santé de foetus - 2nde,stats-moyenne-histogramme-fetal,2026-01-13 08:00:00+01:00,2026-01-13 09:00:00+01:00,2025-2026,2026-01-13,1,1,1,False,False,False,True,0,0,indetermine,0,0,indetermine,indetermine,petite_salve_sans_capytale
U0003,0344f35f-c7f3-47bd-ab81-258a4ca6088c,kc5KBw,8790616,MathAData - Équation cartésienne et vecteur directeur pour la classification d'images de chiffres - 2nde,geometry2ndedroitevecteurdirecteur-mnist,2026-01-13 08:00:00+01:00,2026-01-13 09:00:00+01:00,2025-2026,2026-01-13,1,1,1,False,False,False,True,0,0,indetermine,0,0,indetermine,indetermine,petite_salve_sans_capytale
U0148,cb7d460c-0f1b-49bd-b2a2-8e3403b14a8b,kaAxEq,3515488,MathAData - Équation réduite de droite pour la classification d'images de chiffres - 2nde,geometry2ndeequationdroite-mnist,2026-01-13 13:00:00+01:00,2026-01-13 14:00:00+01:00,2025-2026,2026-01-13,1,1,1,False,False,False,True,0,0,indetermine,0,0,indetermine,indetermine,petite_salve_sans_capytale
U0149,cb7d460c-0f1b-49bd-b2a2-8e3403b14a8b,kaAxEq,3515488,MathAData - Équation réduite de droite pour la classification d'images de chiffres - 2nde,geometry2ndeequationdroite-mnist,2026-01-14 13:00:00+01:00,2026-01-14 14:00:00+01:00,2025-2026,2026-01-14,1,18,7,True,False,False,True,0,0,compatible_remplacement,0,0,compatible_remplacement,compatible_remplacement,
U0043,368b3e07-48f8-4e8d-a63d-af498fe9adb6,w9RWJk,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,stats-moyenne-histogramme-mnist,2026-01-14 16:00:00+01:00,2026-01-14 17:00:00+01:00,2025-2026,2026-01-14,1,18,16,True,True,False,True,0,0,compatible_remplacement,0,0,compatible_remplacement,compatible_remplacement,
U0150,cb7d460c-0f1b-49bd-b2a2-8e3403b14a8b,kaAxEq,3515488,MathAData - Équation réduite de droite pour la classification d'images de chiffres - 2nde,geometry2ndeequationdroite-mnist,2026-01-14 21:00:00+01:00,2026-01-14 22:00:00+01:00,2025-2026,2026-01-14,1,41,40,True,True,True,True,0,0,compatible_remplacement,0,0,compatible_remplacement,compatible_remplacement,
U0151,cb7d460c-0f1b-49bd-b2a2-8e3403b14a8b,kaAxEq,3515488,MathAData - Équation réduite de droite pour la classification d'images de chiffres - 2nde,geometry2ndeequationdroite-mnist,2026-01-15 10:00:00+01:00,2026-01-15 11:00:00+01:00,2025-2026,2026-01-15,1,12,10,True,True,False,True,0,0,compatible_remplacement,0,0,compatible_remplacement,compatible_remplacement,
U0044,368b3e07-48f8-4e8d-a63d-af498fe9adb6,w9RWJk,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,stats-moyenne-histogramme-mnist,2026-01-15 10:00:00+01:00,2026-01-15 11:00:00+01:00,2025-2026,2026-01-15,1,1,1,False,False,False,True,0,0,indetermine,0,0,indetermine,indetermine,petite_salve_sans_capytale
U0152,cb7d460c-0f1b-49bd-b2a2-8e3403b14a8b,kaAxEq,3515488,MathAData - Équation réduite de droite pour la classification d'images de chiffres - 2nde,geometry2ndeequationdroite-mnist,2026-01-15 13:00:00+01:00,2026-01-15 14:00:00+01:00,2025-2026,2026-01-15,1,1,1,False,False,False,True,0,0,indetermine,0,0,indetermine,indetermine,petite_salve_sans_capytale
U0045,368b3e07-48f8-4e8d-a63d-af498fe9adb6,w9RWJk,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,stats-moyenne-histogramme-mnist,2026-01-15 13:00:00+01:00,2026-01-15 15:00:00+01:00,2025-2026,2026-01-15,2,2,2,False,False,False,True,0,0,indetermine,0,0,indetermine,indetermine,petite_salve_sans_capytale
U0046,368b3e07-48f8-4e8d-a63d-af498fe9adb6,w9RWJk,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,stats-moyenne-histogramme-mnist,2026-01-15 17:00:00+01:00,2026-01-15 18:00:00+01:00,2025-2026,2026-01-15,1,1,1,False,False,False,True,1,13,compatible_depannage,1,13,compatible_depannage,compatible_depannage,
U0153,cb7d460c-0f1b-49bd-b2a2-8e3403b14a8b,kaAxEq,3515488,MathAData - Équation réduite de droite pour la classification d'images de chiffres - 2nde,geometry2ndeequationdroite-mnist,2026-01-16 06:00:00+01:00,2026-01-16 07:00:00+01:00,2025-2026,2026-01-16,1,1,1,False,False,False,True,0,0,indetermine,0,0,indetermine,indetermine,petite_salve_sans_capytale
U0047,368b3e07-48f8-4e8d-a63d-af498fe9adb6,w9RWJk,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,stats-moyenne-histogramme-mnist,2026-01-16 12:00:00+01:00,2026-01-16 14:00:00+01:00,2025-2026,2026-01-16,2,34,9,True,False,False,True,0,0,compatible_remplacement,0,0,compatible_remplacement,compatible_remplacement,
U0017,3231d7db-d3b8-4957-8bae-53db8691bbba,cNQxSu,6944347,MathAData - Statistiques pour surveiller la santé de foetus - 2nde,stats-moyenne-histogramme-fetal,2026-01-16 13:00:00+01:00,2026-01-16 14:00:00+01:00,2025-2026,2026-01-16,1,1,1,False,False,False,True,1,16,compatible_depannage,1,16,compatible_depannage,compatible_depannage,
U0004,0344f35f-c7f3-47bd-ab81-258a4ca6088c,kc5KBw,8790616,MathAData - Équation cartésienne et vecteur directeur pour la classification d'images de chiffres - 2nde,geometry2ndedroitevecteurdirecteur-mnist,2026-01-20 08:00:00+01:00,2026-01-20 09:00:00+01:00,2025-2026,2026-01-20,1,1,1,False,False,False,True,0,0,indetermine,0,0,indetermine,indetermine,petite_salve_sans_capytale
U0048,368b3e07-48f8-4e8d-a63d-af498fe9adb6,w9RWJk,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,stats-moyenne-histogramme-mnist,2026-01-20 09:00:00+01:00,2026-01-20 10:00:00+01:00,2025-2026,2026-01-20,1,1,1,False,False,False,True,0,0,indetermine,0,0,indetermine,indetermine,petite_salve_sans_capytale
U0049,368b3e07-48f8-4e8d-a63d-af498fe9adb6,w9RWJk,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,stats-moyenne-histogramme-mnist,2026-01-20 12:00:00+01:00,2026-01-20 13:00:00+01:00,2025-2026,2026-01-20,1,1,1,False,False,False,True,0,0,indetermine,0,0,indetermine,indetermine,petite_salve_sans_capytale
U0050,368b3e07-48f8-4e8d-a63d-af498fe9adb6,w9RWJk,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,stats-moyenne-histogramme-mnist,2026-01-22 10:00:00+01:00,2026-01-22 11:00:00+01:00,2025-2026,2026-01-22,1,1,1,False,False,False,True,0,0,indetermine,0,0,indetermine,indetermine,petite_salve_sans_capytale
U0154,cb7d460c-0f1b-49bd-b2a2-8e3403b14a8b,kaAxEq,3515488,MathAData - Équation réduite de droite pour la classification d'images de chiffres - 2nde,geometry2ndeequationdroite-mnist,2026-01-22 17:00:00+01:00,2026-01-22 18:00:00+01:00,2025-2026,2026-01-22,1,4,4,False,False,False,True,0,0,indetermine,0,0,indetermine,indetermine,petite_salve_sans_capytale
U0155,cb7d460c-0f1b-49bd-b2a2-8e3403b14a8b,kaAxEq,3515488,MathAData - Équation réduite de droite pour la classification d'images de chiffres - 2nde,geometry2ndeequationdroite-mnist,2026-01-23 23:00:00+01:00,2026-01-24 00:00:00+01:00,2025-2026,2026-01-23,1,1,1,False,False,False,True,0,0,indetermine,0,0,indetermine,indetermine,petite_salve_sans_capytale
U0051,368b3e07-48f8-4e8d-a63d-af498fe9adb6,w9RWJk,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,stats-moyenne-histogramme-mnist,2026-01-24 13:00:00+01:00,2026-01-24 14:00:00+01:00,2025-2026,2026-01-24,1,1,1,False,False,False,True,0,0,indetermine,0,0,indetermine,indetermine,petite_salve_sans_capytale
U0052,368b3e07-48f8-4e8d-a63d-af498fe9adb6,w9RWJk,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,stats-moyenne-histogramme-mnist,2026-01-27 08:00:00+01:00,2026-01-27 10:00:00+01:00,2025-2026,2026-01-27,2,6,4,False,False,False,True,1,17,compatible_depannage,1,17,compatible_depannage,indetermine,
U0156,cb7d460c-0f1b-49bd-b2a2-8e3403b14a8b,kaAxEq,3515488,MathAData - Équation réduite de droite pour la classification d'images de chiffres - 2nde,geometry2ndeequationdroite-mnist,2026-01-29 15:00:00+01:00,2026-01-29 17:00:00+01:00,2025-2026,2026-01-29,2,10,2,False,False,False,True,0,0,indetermine,0,0,indetermine,compatible_remplacement,petite_salve_sans_capytale
U0053,368b3e07-48f8-4e8d-a63d-af498fe9adb6,w9RWJk,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,stats-moyenne-histogramme-mnist,2026-01-30 12:00:00+01:00,2026-01-30 13:00:00+01:00,2025-2026,2026-01-30,1,1,1,False,False,False,True,0,0,indetermine,0,0,indetermine,indetermine,petite_salve_sans_capytale
U0157,cb7d460c-0f1b-49bd-b2a2-8e3403b14a8b,kaAxEq,3515488,MathAData - Équation réduite de droite pour la classification d'images de chiffres - 2nde,geometry2ndeequationdroite-mnist,2026-01-31 14:00:00+01:00,2026-01-31 15:00:00+01:00,2025-2026,2026-01-31,1,1,1,False,False,False,True,0,0,indetermine,0,0,indetermine,indetermine,petite_salve_sans_capytale
