nom,uai,type_etablissement,commune,academie,departement,secteur,ips,latitude,longitude
Collège Les Capucins,0360016X,college,Châteauroux,Orléans-Tours,Indre,Public,101.7,46.80942263744407,1.6948998630657919
Lycée polyvalent George Sand,0360019A,lycee,La Châtre,Orléans-Tours,Indre,Public,100.7,46.58353972401974,1.9774405185490846
Collège Jean Rostand,0360038W,college,Tournon-Saint-Martin,Orléans-Tours,Indre,Public,96.3,46.735400754772115,0.9654505251056983
Lycée polyvalent privé Saint Cyr-Sainte Julitte,0360505D,lycee,Issoudun,Orléans-Tours,Indre,Privé,112.8,46.951906349048684,1.9969402386333848
Collège Jean Moulin,0360546Y,college,Saint-Gaultier,Orléans-Tours,Indre,Public,97,46.63434435047339,1.4228894805591905
Collège privé Saint Cyr-Sainte Julitte,0360568X,college,Issoudun,Orléans-Tours,Indre,Privé,113.7,46.95231961512883,1.997040399055048
Ecole secondaire privée Saint Michel,0360671J,lycee,Montierchaume,Orléans-Tours,Indre,Privé,,46.82650982010273,1.7643736180272631
Ecole professionnelle privée Philibert Vrau,0360860P,lycee,Montierchaume,Orléans-Tours,Indre,Privé,,46.82650982010273,1.7643736180272631
Lycée général et technologique Léonard de Vinci,0370001A,lycee,Amboise,Orléans-Tours,Indre-et-Loire,Public,117.5,47.40099688190214,0.9824105459079514
Réseau des collèges de Preuilly-sur-Claise et du Grand-Pressigny,0370026C,college,Preuilly-sur-Claise,Orléans-Tours,Indre-et-Loire,Public,92,46.85785744978883,0.9269202810017807
Lycée général et technologique Balzac,0370036N,lycee,Tours,Orléans-Tours,Indre-et-Loire,Public,118.1,47.3873257543265,0.6870804244411985
Collège François Rabelais,0370045Y,college,Tours,Orléans-Tours,Indre-et-Loire,Public,110.9,47.38534598920548,0.6757803644704092
Collège de Montrésor Jean Lévêque,0370051E,college,Montrésor,Orléans-Tours,Indre-et-Loire,Public,99.4,47.157101728779544,1.2035553857887766
Lycée général et technologique privé Grand Saint Gregoire,0370727P,lycee,Tours,Orléans-Tours,Indre-et-Loire,Privé,129.9,47.40126101536642,0.6837094447493431
Lycée général privé Saint Denis,0370737A,lycee,Loches,Orléans-Tours,Indre-et-Loire,Privé,140.9,47.127387402690786,0.9937400808624735
Collège privé Le Sacré-Coeur,0370739C,college,Richelieu,Orléans-Tours,Indre-et-Loire,Privé,110.1,47.01446083658151,0.322099650248644
"Lycée professionnel privé Notre Dame La Riche, sous le patronage de Saint Vincent de Paul",0370757X,lycee,Tours,Orléans-Tours,Indre-et-Loire,Privé,112.9,47.39025945012596,0.6763564087572175
Collège Pablo Neruda,0370767H,college,Saint-Pierre-des-Corps,Orléans-Tours,Indre-et-Loire,Public,103.1,47.39534124989182,0.7506599073076334
Collège Georges Besse,0370768J,college,Loches,Orléans-Tours,Indre-et-Loire,Public,97,47.12797565902744,0.9821006220178129
Collège Lamartine,0370769K,college,Tours,Orléans-Tours,Indre-et-Loire,Public,88.2,47.38422811064049,0.6681696907981866
Lycée professionnel Victor Laloux - Lycée des métiers de la distribution et des services,0370771M,lycee,Tours,Orléans-Tours,Indre-et-Loire,Public,92.4,47.35943478623753,0.702950004710244
Collège Arche du Lude,0370791J,college,Joué-lès-Tours,Orléans-Tours,Indre-et-Loire,Public,79.4,47.346168623440334,0.6506603450186224
Collège Montaigne,0370884K,college,Tours,Orléans-Tours,Indre-et-Loire,Public,107.4,47.42972005951443,0.6797197129702062
Collège Jules Romains,0370887N,college,Saint-Avertin,Orléans-Tours,Indre-et-Loire,Public,128.4,47.353432647038325,0.722590067133635
"Lycée professionnel d'Arsonval - Lycée des métiers d'art, de l'aménagement de l'espace et de la communication",0370888P,lycee,Joué-lès-Tours,Orléans-Tours,Indre-et-Loire,Public,100.5,47.3468747310573,0.6684495155026476
Collège Pierre Corneille,0370991B,college,Tours,Orléans-Tours,Indre-et-Loire,Public,98.4,47.37611461336685,0.7311393583111294
Collège Val de l'Indre,0370993D,college,Monts,Orléans-Tours,Indre-et-Loire,Public,116.8,47.27948743830694,0.6525693951303948
Collège La Bruyere,0371158H,college,Tours,Orléans-Tours,Indre-et-Loire,Public,92,47.419767086502176,0.681989836662814
Collège Jean Zay,0371159J,college,Chinon,Orléans-Tours,Indre-et-Loire,Public,102.4,47.16592299522881,0.2515601822924069
Collège Georges Brassens,0371204H,college,Esvres,Orléans-Tours,Indre-et-Loire,Public,113.8,47.29147713429939,0.7879405791826165
Collège Jean Roux,0371397T,college,Fondettes,Orléans-Tours,Indre-et-Loire,Public,126.4,47.4034590657236,0.6011700218261434
Collège René Cassin,0371403Z,college,Ballan-Miré,Orléans-Tours,Indre-et-Loire,Public,125.4,47.34372636575496,0.6126894067364336
Lycée général et technologique Jean Monnet,0371417P,lycee,Joué-lès-Tours,Orléans-Tours,Indre-et-Loire,Public,114.3,47.33883845163394,0.6589996608922724
Lycée polyvalent privé Esthétique de Touraine,0371532P,lycee,Tours,Orléans-Tours,Indre-et-Loire,Privé,111.1,47.382385473529055,0.6896802963722642
Lycée d'enseignement général et technologique agricole de la Côte-Saint-André,0381819W,lycee,La Côte-Saint-André,Grenoble,Isère,Public,,45.38828913077507,5.267560578548466
Lycée agricole privé Le Vallon - site Saint-Jean-de-Bournay,0382375A,lycee,Saint-Jean-de-Bournay,Grenoble,Isère,Privé,,45.501511938723624,5.143062446719342
Collège des Lacs,0390009Y,college,Clairvaux-les-Lacs,Besançon,Jura,Public,109.4,46.57421041228855,5.755289849794156
Lycée polyvalent Jacques Duhamel,0390013C,lycee,Dole,Besançon,Jura,Public,103.5,47.081704144203584,5.470800244287747
Collège Pierre-Hyacinthe Cazeaux,0390028U,college,Hauts de Bienne,Besançon,Jura,Public,91.4,46.51894080971157,6.025469973975638
Institution Saint Oyend,0390071R,college,Saint-Claude,Besançon,Jura,Privé,107.4,46.38839519945327,5.865762577914772
Collège privé Notre-Dame de la Salette,0390073T,college,Voiteur,Besançon,Jura,Privé,105.9,46.75085418898804,5.612639508017415
Collège Xavier Bichat,0390783P,college,Arinthod,Besançon,Jura,Public,99.6,46.39280180133507,5.563370202503507
Collège Lucien Febvre,0390785S,college,Saint-Amour,Besançon,Jura,Public,96.1,46.43887463703944,5.342547602703235
Lycée polyvalent Pré Saint Sauveur,0390786T,lycee,Saint-Claude,Besançon,Jura,Public,91.4,46.379792800805646,5.871529367759134
Lycée d'enseignement général et technologique agricole de Lons Le Saunier - Montmorot,0390810U,lycee,Montmorot,Besançon,Jura,Public,,46.689367915987745,5.510970533801388
Collège Les Louataux,0390961H,college,Champagnole,Besançon,Jura,Public,98.2,46.7337803680386,5.9265896649911625
Collège du Plateau,0391035N,college,Lavans-lès-Saint-Claude,Besançon,Jura,Public,95.5,46.39242834802411,5.7886534489811705
Collège privé Notre-Dame de l'Annonciation,0391048C,college,Cressia,Besançon,Jura,Privé,,46.52098076641974,5.483310381313706
Lycée polyvalent privé Pasteur Mont Roland,0391146J,lycee,Dole,Besançon,Jura,Privé,106.8,47.09388744490723,5.4900800443755715
Collège Jean Rostand,0400042D,college,Tartas,Bordeaux,Landes,Public,101.2,43.835613796083706,-0.8112290667403639
"Lycée professionnel Jean d'Arcet - Lycée des métiers de l'hôtellerie restauration, de la coiffure et de l'assistance à la gestion",0400047J,lycee,Aire-sur-l'Adour,Bordeaux,Landes,Public,84.2,43.69709542037719,-0.26904046228808925
Collège privé Vincent de Paul,0400068G,college,Saint-Vincent-de-Paul,Bordeaux,Landes,Privé,101.5,43.747140662752145,-1.0104150351577075
Collège privé Saint Jean Bosco,0400072L,college,Gabarret,Bordeaux,Landes,Privé,109.8,43.98492547729385,0.012166913656267967
Collège Lubet Barbon,0400103V,college,Saint-Pierre-du-Mont,Bordeaux,Landes,Public,97.4,43.87779141657054,-0.5093728558010466
Collège Jean Marie Lonne,0400727Y,college,Hagetmau,Bordeaux,Landes,Public,97.1,43.65467028534577,-0.5903718857251267
Collège L. Dussarrat dit Léon des Landes,0400729A,college,Dax,Bordeaux,Landes,Public,102,43.7053296231459,-1.0588430204792658
Collège Jean Rostand,0400779E,college,Mont-de-Marsan,Bordeaux,Landes,Public,105.7,43.886603281080404,-0.5020815201344144
Lycée privé St Jacques de Compostelle,0401016M,lycee,Dax,Bordeaux,Landes,Privé,124.9,43.694302535397505,-1.0582039516766046
Collège Henri EMMANUELLI,0401077D,college,Labrit,Bordeaux,Landes,Public,93,44.096541665756035,-0.5481411370790018
Lycée de Pontonx sur l'Adour,0401125F,lycee,Pontonx-sur-l'Adour,Bordeaux,Landes,Privé,,43.789753701357505,-0.9240437417192381
Lycée général et technologique F Philibert Dessaignes,0410002E,lycee,Blois,Orléans-Tours,Loir-et-Cher,Public,114,47.59544339381901,1.3387700845610522
Collège Hubert Fillay,0410005H,college,Bracieux,Orléans-Tours,Loir-et-Cher,Public,111.8,47.54904293908283,1.5470300474903584
Collège Lavoisier,0410015U,college,Oucques La Nouvelle,Orléans-Tours,Loir-et-Cher,Public,92.7,47.82263269827949,1.2976003785045163
Collège Maurice Genevoix,0410019Y,college,Romorantin-Lanthenay,Orléans-Tours,Loir-et-Cher,Public,96,47.36301182060434,1.7430494630193054
Collège Clément Janequin,0410566T,college,Montoire-sur-le-Loir,Orléans-Tours,Loir-et-Cher,Public,97.7,47.74926817540915,0.871280035992696
Collège Saint-Exupéry,0410595Z,college,Le Controis-en-Sologne,Orléans-Tours,Loir-et-Cher,Public,97.2,47.421745316184015,1.426202566860836
Collège Alphonse Kaar,0410596A,college,Mondoubleau,Orléans-Tours,Loir-et-Cher,Public,92.6,47.98121999742099,0.8993693796117779
Lycée d'enseignement général et technologique agricole de Vendôme - site de Blois,0410629L,lycee,Blois,Orléans-Tours,Loir-et-Cher,Public,,47.56564008668135,1.3259299132962856
Collège privé Saint Charles,0410678P,college,Blois,Orléans-Tours,Loir-et-Cher,Privé,106.2,47.588965778695474,1.3255528181556433
Collège privé Notre-Dame - Saint Joseph,0410681T,college,Mer,Orléans-Tours,Loir-et-Cher,Privé,116.1,47.70098215316235,1.5089997393246546
Collège Augustin Thierry,0410860M,college,Blois,Orléans-Tours,Loir-et-Cher,Public,108.5,47.596325638960444,1.3298701241331405
Collège Marie Curie,0410914W,college,Saint-Laurent-Nouan,Orléans-Tours,Loir-et-Cher,Public,104.7,47.71947141272932,1.6270904183321677
Collège François Rabelais,0410952M,college,Blois,Orléans-Tours,Loir-et-Cher,Public,66.4,47.59447793664912,1.3163799783909151
Ecole secondaire privée Académie Saint Louis,0411109H,lycee,Nouan-le-Fuzelier,Orléans-Tours,Loir-et-Cher,Privé,,,
Lycée général et technologique Albert Camus,0420013L,lycee,Firminy,Lyon,Loire,Public,91,45.38837031113133,4.283000546539635
Lycée général et technologique Beauregard,0420018S,lycee,Montbrison,Lyon,Loire,Public,114.8,45.61038124074128,4.055310496631448
Collège des Montagnes du Matin,0420023X,college,Panissières,Lyon,Loire,Public,104,45.78905515675083,4.343599614626882
Collège Gaston Baty,0420024Y,college,Pélussin,Lyon,Loire,Public,110.5,45.419883702905025,4.676049451786229
Collège Emile Falabrègue,0420038N,college,Saint-Bonnet-le-Château,Lyon,Loire,Public,106.4,45.42155324580736,4.068339378644801
"Lycée professionnel Benoît Charvet - Lycée des métiers du tertiaire, du sport, des services et des soins à la personne",0420049A,lycee,Saint-Etienne,Lyon,Loire,Public,78.8,45.44622168828953,4.377669445364675
Lycée professionnel Jacob Holtzer,0420073B,lycee,Firminy,Lyon,Loire,Public,78.2,45.387899381456975,4.291929737837772
Lycée professionnel Beauregard,0420075D,lycee,Montbrison,Lyon,Loire,Public,92.4,45.61038124074128,4.055310496631448
Lycée professionnel Carnot,0420076E,lycee,Roanne,Lyon,Loire,Public,88.1,46.0418401286625,4.069759965157606
Collège Puits de La Loire,0420916T,college,Saint-Etienne,Lyon,Loire,Public,76.4,45.44486266638672,4.3727497411511065
Lycée professionnel Benoît Fourneyron - Lycée des métiers de l'habitat et des énergies - Lycée des métiers de l'armurerie,0420958N,lycee,Saint-Etienne,Lyon,Loire,Public,86.1,45.417963281017286,4.422770275796339
Lycée général et technologique privé Sainte Marie La Grand'Grange,0421022H,lycee,Saint-Chamond,Lyon,Loire,Privé,122.6,45.47168835364804,4.5225304260606425
Lycée général privé Saint Paul,0421023J,lycee,Roanne,Lyon,Loire,Privé,122.2,46.038858973683446,4.07055026784956
Lycée général et technologique privé Sévigné,0421034W,lycee,Saint-Etienne,Lyon,Loire,Privé,119.9,45.431415366788315,4.397579941072392
Collège privé Saint Joseph,0421044G,college,Le Chambon-Feugerolles,Lyon,Loire,Privé,96.3,45.39711908350785,4.325279458046782
Collège privé Saint Jean,0421049M,college,Pélussin,Lyon,Loire,Privé,107.5,45.41796860733925,4.6763702697472835
Lycée d'enseignement généraltechnologique et professionnel de Roanne Chervé,0421078U,lycee,Perreux,Lyon,Loire,Public,,46.0257610857597,4.107659566972007
Collège Pierre et Marie Curie,0421171V,college,La Talaudière,Lyon,Loire,Public,113.1,45.481236109835805,4.438050101133954
Collège Jules Vallès,0421176A,college,Saint-Etienne,Lyon,Loire,Public,65.1,45.44597671688978,4.400360397819424
Lycée professionnel agricole de Villars - Montravel,0421210M,lycee,Villars,Lyon,Loire,Public,,45.47471762804849,4.350620178322524
Collège Marc Seguin,0421451Z,college,Saint-Etienne,Lyon,Loire,Public,75.8,45.465018037373156,4.408860006920129
Collège Jacques Prévert,0421487N,college,Andrézieux-Bouthéon,Lyon,Loire,Public,100.9,45.52948793571253,4.266710174692869
Collège Les Bruneaux,0421570D,college,Firminy,Lyon,Loire,Public,79.9,45.38055274163099,4.279589776387666
Collège privé Saint Paul,0421797A,college,Roanne,Lyon,Loire,Privé,114,46.04266634493964,4.0741005979914835
"Lycée d'enseignement général, technologique et professionnel agricole de Ranne Chervé-Noirétable",0421858S,lycee,Noirétable,Lyon,Loire,Public,,45.818837362917726,3.7652500580000403
Lycée général et technologique François Mauriac-Forez,0421976V,lycee,Andrézieux-Bouthéon,Lyon,Loire,Public,119.2,45.53022390708379,4.270521009137955
Lycée professionnel privé Sainte Anne,0421979Y,lycee,Roanne,Lyon,Loire,Privé,109.2,46.03633732426127,4.0626095149588455
Ecole professionnelle privée de l'Association forézienne d'Ecoles de Production,0422052C,lycee,Saint-Etienne,Lyon,Loire,Privé,,45.41627945221119,4.384479857498315
Collège Léonard de Vinci,0422136U,college,Saint-Romain-le-Puy,Lyon,Loire,Public,98.4,45.553719754125,4.126949797075701
"Lycée polyvalent privé La Salésienne - Lycée des métiers des biotechnologies, des services aux personnes et aux collectivités",0422158T,lycee,Saint-Etienne,Lyon,Loire,Privé,96.3,45.438972211515114,4.402060614850185
Ecole technique privée - Ecole de production La Plane,0422401G,lycee,Montbrison,Lyon,Loire,Privé,,,
Collège des Hauts de L'Arzon,0430010C,college,Craponne-sur-Arzon,Clermont-Ferrand,Haute-Loire,Public,98.3,45.32652197329684,3.844357375026
Collège Robert Louis Stevenson,0430012E,college,Landos,Clermont-Ferrand,Haute-Loire,Public,97.2,44.83981825329537,3.8328704000998792
Lycée général et technologique Simone Weil,0430021P,lycee,Le Puy-en-Velay,Clermont-Ferrand,Haute-Loire,Public,112.4,45.04881318010798,3.894879544409612
Lycée professionnel Jean Monnet - Lycée des métiers,0430024T,lycee,Le Puy-en-Velay,Clermont-Ferrand,Haute-Loire,Public,88.1,45.03691203653333,3.8869996845970816
Collège La Fayette,0430025U,college,Le Puy-en-Velay,Clermont-Ferrand,Haute-Loire,Public,101,45.043580980649175,3.8860600543876944
Collège Joachim Barrande,0430032B,college,Saugues,Clermont-Ferrand,Haute-Loire,Public,107.9,44.95708540300156,3.5465304074651516
Lycée polyvalent privé Saint Julien,0430053Z,lycee,Brioude,Clermont-Ferrand,Haute-Loire,Privé,106.6,45.29104323529904,3.3882295451355002
Collège privé Saint Joseph,0430086K,college,Saint-Julien-Chapteuil,Clermont-Ferrand,Haute-Loire,Privé,111.5,45.035023296089186,4.061700308035965
Collège privé Saint-Martin,0430093T,college,Tence,Clermont-Ferrand,Haute-Loire,Privé,107.5,45.11543848604263,4.289730030565818
"Lycée d'enseignement général, technologique et professionnel agricole de Fontannes",0430112N,lycee,Fontannes,Clermont-Ferrand,Haute-Loire,Public,,45.291921400767826,3.4234133520903622
Collège du Lignon,0430820H,college,Le Chambon-sur-Lignon,Clermont-Ferrand,Haute-Loire,Public,98.7,45.05950766068352,4.298549588862004
Lycée agricole privé Eugène Joubert - Yssingeaux,0430842G,lycee,Yssingeaux,Clermont-Ferrand,Haute-Loire,Privé,,45.141771366937945,4.1222265067035195
Collège privé Saint Julien,0430898T,college,Brioude,Clermont-Ferrand,Haute-Loire,Privé,104.6,45.29131367149943,3.3889203037554627
Collège privé La Chartreuse,0430899U,college,Brives-Charensac,Clermont-Ferrand,Haute-Loire,Privé,112.2,45.05496697107389,3.912619640626833
Lycée polyvalent Emmanuel Chabrier,0430953C,lycee,Yssingeaux,Clermont-Ferrand,Haute-Loire,Public,104.4,45.12962176449184,4.123309377700316
Collège des Gorges de la Loire,0430987P,college,Aurec-sur-Loire,Clermont-Ferrand,Haute-Loire,Public,105,45.36890718676442,4.189490472729531
Lycée polyvalent Joubert - Emilien Maillard,0440001M,lycee,Ancenis-Saint-Géréon,Nantes,Loire-Atlantique,Public,106.5,47.37537909669732,-1.1817713728384345
Lycée Polyvalent Gaspard Monge - La Chauvinière - Lycée des métiers,0440030U,lycee,Nantes,Nantes,Loire-Atlantique,Public,110.5,47.2540961307008,-1.5729705683673285
Collège René-Guy Cadou,0440147W,college,Ancenis-Saint-Géréon,Nantes,Loire-Atlantique,Public,100.8,47.382677791730764,-1.186265766061345
Lycée général privé Saint Louis,0440177D,lycee,Saint-Nazaire,Nantes,Loire-Atlantique,Privé,135.3,47.26853420950614,-2.2192895608755503
Collège privé Saint Joseph,0440199C,college,Ligné,Nantes,Loire-Atlantique,Privé,116.8,47.409494175843385,-1.373940614749704
Lycée général et technologique privé Saint Joseph,0440201E,lycee,Machecoul-Saint-Même,Nantes,Loire-Atlantique,Privé,120.5,46.993742201941075,-1.8235502189487176
Collège privé Saint Blaise,0440244B,college,Vertou,Nantes,Loire-Atlantique,Privé,135,47.16559544216249,-1.4689899551138574
Lycée professionnel privé Le Masle,0440282T,lycee,Saint-Nazaire,Nantes,Loire-Atlantique,Privé,104.2,47.27222992731064,-2.2059306012613367
Collège Alice Milliat,0440308W,college,Blain,Nantes,Loire-Atlantique,Public,100.7,47.48034940390784,-1.7615696667523142
Lycée professionnel maritime Jacques Cassard,0442092K,lycee,Nantes,Nantes,Loire-Atlantique,Public,,47.24034471009416,-1.53248985791962
Collège Montesquieu,0311093V,college,Cugnaux,Toulouse,Haute-Garonne,Public,106.5,43.53835713358475,1.3504095337910011
Collège privé Joseph Niel,0311130K,college,Muret,Toulouse,Haute-Garonne,Privé,128.8,43.459836163830474,1.3140012649941166
Collège privé Sainte-Marie des Ursulines,0311148E,college,Toulouse,Toulouse,Haute-Garonne,Privé,126,43.608706283850054,1.4594463098504673
Collège Maurice Bécanne,0311231V,college,Toulouse,Toulouse,Haute-Garonne,Public,95.4,43.584375771338,1.4245700135225179
Collège Jean Jaurès,0311238C,college,Colomiers,Toulouse,Haute-Garonne,Public,100.6,43.606870866460284,1.3400794663519615
Lycée agricole privé Saint-François de Labège,0311270M,lycee,Labège,Toulouse,Haute-Garonne,Privé,,43.53692005248214,1.522168392284383
Collège Louisa Paulin,0311319R,college,Muret,Toulouse,Haute-Garonne,Public,91.4,43.470537081314674,1.334460201776182
Lycée professionnel Gisèle Halimi,0311324W,lycee,Toulouse,Toulouse,Haute-Garonne,Public,85,43.584518442901285,1.3975365460346079
Collège Les Chalets,0311328A,college,Toulouse,Toulouse,Haute-Garonne,Public,112.2,43.61523934074782,1.4387895339952173
Collège Jean Moulin,0311333F,college,Toulouse,Toulouse,Haute-Garonne,Public,106.6,43.573788312771015,1.455089487439257
Lycée polyvalent Edmond Rostand - Lycée des métiers de la première transformation du bois,0311334G,lycee,Bagnères-de-Luchon,Toulouse,Haute-Garonne,Public,118.6,42.7921570492819,0.5986195406197539
Collège Emile Zola,0311338L,college,Toulouse,Toulouse,Haute-Garonne,Public,111.7,43.5884511989143,1.449119655906303
Collège André Abbal,0311580Z,college,Carbonne,Toulouse,Haute-Garonne,Public,107.4,43.306165430887496,1.229580081245549
Collège Jean Mermoz,0311581A,college,Blagnac,Toulouse,Haute-Garonne,Public,100.6,43.64496089107707,1.3800705312935582
Collège Les Violettes,0311632F,college,Aucamville,Toulouse,Haute-Garonne,Public,105,43.67500395133333,1.4234100986103841
Collège André Malraux,0311633G,college,Ramonville-Saint-Agne,Toulouse,Haute-Garonne,Public,111,43.55015495500798,1.4811805788679022
Collège Alain Savary,0311721C,college,Fronton,Toulouse,Haute-Garonne,Public,119.2,43.834855180977634,1.3837100925265673
Ecole générale et technologique privée de photographie et d'audiovisuel,0311758T,lycee,Auzeville-Tolosane,Toulouse,Haute-Garonne,Privé,,43.528353934442976,1.4898034646193663
Collège Léo Ferré,0311772H,college,Saint-Lys,Toulouse,Haute-Garonne,Public,113,43.51336840342611,1.1848497397132158
Lycée professionnel privé Sainte-Marie de Nevers,0311970Y,lycee,Toulouse,Toulouse,Haute-Garonne,Privé,113.2,43.60727282133117,1.4434178459200382
Collège Victor Hugo,0312092F,college,Colomiers,Toulouse,Haute-Garonne,Public,131,43.61616138386665,1.3086294366023659
Collège Daniel Sorano,0312220V,college,Pins-Justaret,Toulouse,Haute-Garonne,Public,123.3,43.48382505930237,1.3875806106085735
Collège privé OHR Torah,0312284P,college,Toulouse,Toulouse,Haute-Garonne,Privé,125.5,43.62182467981227,1.4620447858234036
Collège Léonard de Vinci,0312307P,college,Tournefeuille,Toulouse,Haute-Garonne,Public,131,43.59287839583914,1.3243799449232971
Collège Galilée,0312612W,college,La Salvetat-Saint-Gilles,Toulouse,Haute-Garonne,Public,115.8,43.571176916499155,1.246749402392155
Lycée général Pierre Bourdieu,0312696M,lycee,Fronton,Toulouse,Haute-Garonne,Public,128.1,43.834565378736535,1.400993342349287
Collège Jean Dieuzaide,0312700S,college,Pechbonnieu,Toulouse,Haute-Garonne,Public,123,43.705531988373785,1.4613999079727615
ECOLE PRIVE SUPERIEURE D'ESTHETIQUE SILVYA TERRADE TOULOUSE SAINT-AGNE,0312745R,lycee,Toulouse,Toulouse,Haute-Garonne,Privé,,43.60021420207189,1.4435796191735912
Collège Pierre Mendès-France,0312843X,college,Labarthe-sur-Lèze,Toulouse,Haute-Garonne,Public,117.7,43.464708879779174,1.3990403687447786
Collège Nelson Mandela,0312868Z,college,Noé,Toulouse,Haute-Garonne,Public,110.7,43.3476068891608,1.2498604134171007
Lycée général et technologique Nelson Mandela,0312938A,lycee,Pibrac,Toulouse,Haute-Garonne,Public,133,43.60765387044453,1.2831506131728827
Collège Lionel Jospin,0313045S,college,Cintegabelle,Toulouse,Haute-Garonne,Public,109,43.30551982403295,1.528577941874553
COLLEGE PRIVE ARBORESCENCES 31,0313059G,college,La Salvetat-Saint-Gilles,Toulouse,Haute-Garonne,Privé,,43.58339222933824,1.2768901719777568
Collège Ginette Kolinka,0313081F,college,Seysses,Toulouse,Haute-Garonne,Public,109.6,43.48997022508272,1.2802715243853375
Collège privé hors contrat Frizbi,0313175H,college,Rouède,Toulouse,Haute-Garonne,Privé,,,
Collège public Lucie Aubrac,0320001C,college,Aignan,Toulouse,Gers,Public,101.6,43.697970090353195,0.08831939522128496
Collège privé Saint-Christophe,0320004F,college,Masseube,Toulouse,Gers,Privé,117.6,43.41052238600298,0.5839299275639492
Collège Maréchal Lannes,0320017V,college,Lectoure,Toulouse,Gers,Public,104.4,43.93043974338,0.6287702255903832
Collège Aretha Franklin,0320019X,college,Marciac,Toulouse,Gers,Public,120.4,43.52243445332976,0.15746187772772768
Lycée polyvalent d'Artagnan - Lycée des métiers,0320025D,lycee,Nogaro,Toulouse,Gers,Public,97.3,43.754191900515664,-0.02795020609659151
Collège François de Belleforest,0320031K,college,Samatan,Toulouse,Gers,Public,103.9,43.49632914555622,0.927399603273065
Lycée professionnel Pardailhan,0320040V,lycee,Auch,Toulouse,Gers,Public,92.4,43.6535380428107,0.5782599284624552
Collège privé Notre-Dame de Piétat,0320059R,college,Condom,Toulouse,Gers,Privé,106.2,43.961964152897075,0.3670395566213332
Collège Vasconie,0320074G,college,Miélan,Toulouse,Gers,Public,102.8,43.42456818356153,0.3079504508475112
Lycée professionnel agricole de Mirande,0320557G,lycee,Mirande,Toulouse,Gers,Public,,43.530135187261926,0.40170998247081985
Collège Simone Veil,0320608M,college,Masseube,Toulouse,Gers,Public,106.1,43.42952824012337,0.5752696660163286
Institut agricole privé de Masseube,0320633P,lycee,Masseube,Toulouse,Gers,Privé,,43.41079797279392,0.5853900071362458
Collège privé Oratoire Sainte-Marie,0320650H,college,Auch,Toulouse,Gers,Privé,121.8,43.64832174388088,0.5809089302645907
Collège Françoise Héritier,0320740F,college,L'Isle-Jourdain,Toulouse,Gers,Public,117.6,43.60640611986727,1.0763105176510857
Lycée général et technologique Gisèle Halimi,0330010G,lycee,Bazas,Bordeaux,Gironde,Public,111,44.433276909488676,-0.21405325574721157
Lycée général Montesquieu,0330022V,lycee,Bordeaux,Bordeaux,Gironde,Public,126.4,44.850302703767035,-0.5820502060798751
Lycée polyvalent Gustave Eiffel,0330028B,lycee,Bordeaux,Bordeaux,Gironde,Public,123.8,44.82891084178311,-0.564361965386203
Collège Paul Emile Victor,0330058J,college,Branne,Bordeaux,Gironde,Public,105.6,44.824405075535346,-0.18413512768718163
Collège Aliénor d'Aquitaine,0330064R,college,Castillon-la-Bataille,Bordeaux,Gironde,Public,85.8,44.85113390318635,-0.05064821201151862
Collège Jules Chambrelent,0330081J,college,Hourtin,Bordeaux,Gironde,Public,107.6,45.19053332213172,-1.0579884345420385
Collège François Mitterrand,0330106L,college,Pessac,Bordeaux,Gironde,Public,96.2,44.7919202102726,-0.6450723665147032
Collège Niki de Saint Phalle,0330132P,college,Villenave-d'Ornon,Bordeaux,Gironde,Public,104.7,44.7804427885347,-0.5676769496213447
Collège Jean Aviotte,0330138W,college,Guîtres,Bordeaux,Gironde,Public,95.6,45.04162784600899,-0.18546107752025037
Collège Gisèle Halimi,0330146E,college,Mérignac,Bordeaux,Gironde,Public,99,44.84199629660682,-0.6510234523453694
Collège Marie Bartette,0330167C,college,Arcachon,Bordeaux,Gironde,Public,110.8,44.652973382409385,-1.163537678335056
Lycée professionnel Les Chartrons,0331460H,lycee,Bordeaux,Bordeaux,Gironde,Public,86,44.85585713131863,-0.5733044623896109
Lycée général privé Saint Elme,0331488N,lycee,Arcachon,Bordeaux,Gironde,Privé,134.7,44.65537882486955,-1.15258186496156
Lycée général et technologique privé L'Assomption Ste Clotilde,0331495W,lycee,Bordeaux,Bordeaux,Gironde,Privé,138.6,44.8520192458742,-0.5945713839434625
Collège privé Notre-Dame Sévigné,0331500B,college,Talence,Bordeaux,Gironde,Privé,129.9,44.81140314927386,-0.5928976934337254
Collège privé Notre-Dame,0331528G,college,Lesparre-Médoc,Bordeaux,Gironde,Privé,107.5,45.30720959961555,-0.9377808291559515
Ecole technique privée d'Esthétique Françoise B - Groupe Sylvia Terrade,0331557N,lycee,Bordeaux,Bordeaux,Gironde,Privé,,44.85904003849235,-0.5713190002802311
Lycée technologique privé Bel Orme,0331591A,lycee,Bordeaux,Bordeaux,Gironde,Privé,122.7,44.849789279906226,-0.5941612521143088
Lycée professionnel Marcel Dassault,0331668J,lycee,Mérignac,Bordeaux,Gironde,Public,92.4,44.83486785364598,-0.6489183011970837
Collège Marcellin Berthelot,0331752A,college,Bègles,Bordeaux,Gironde,Public,123.5,44.80803893230587,-0.5669685273908109
