nom,uai,type_etablissement,commune,academie,departement,secteur,ips,latitude,longitude
Lycée général et technologique Saint-Exupéry,0782539L,lycee,Mantes-la-Jolie,Versailles,Yvelines,Public,99.8,48.99632959160948,1.6933611347904614
Lycée d'enseignement général Hoche,0782562L,lycee,Versailles,Versailles,Yvelines,Public,151.5,48.8057011764658,2.1367267585775482
Lycée professionnel Jacques Prévert,0782603F,lycee,Versailles,Versailles,Yvelines,Public,94.1,48.810176463250876,2.1497513737726384
Lycée polyvalent Pierre Corneille,0782822U,lycee,La Celle-Saint-Cloud,Versailles,Yvelines,Public,118.8,48.846219749553725,2.1370639634984654
Maison de La Légion d'Honneur Les Loges,0783122V,college,Saint-Germain-en-Laye,Versailles,Yvelines,Public,142.4,48.903292802037925,2.0933162675659562
Lycée général et technologique Mansart,0783140P,lycee,Saint-Cyr-l'Ecole,Versailles,Yvelines,Public,121.8,48.804784616480546,2.0640573006596874
Collège Anatole France,0783251K,college,Les Clayes-sous-Bois,Versailles,Yvelines,Public,108.9,48.827862321750914,1.9825135139573822
Collège Lamartine,0783253M,college,Houilles,Versailles,Yvelines,Public,124.5,48.92932041336036,2.1795593436922625
Lycée général et technologique privé L'Ermitage,0783283V,lycee,Maisons-Laffitte,Versailles,Yvelines,Privé,157.6,48.942790721901126,2.1452723270924445
Lycée général et technologique privé Saint Erembert,0783286Y,lycee,Saint-Germain-en-Laye,Versailles,Yvelines,Privé,156.3,48.89599108673565,2.099642839310491
Lycée général et technologique privé Notre Dame,0783288A,lycee,Saint-Germain-en-Laye,Versailles,Yvelines,Privé,158.4,48.89400203647947,2.0753701866211363
Collège privé du Sacré-Coeur,0783295H,college,Versailles,Versailles,Yvelines,Privé,146.4,48.79639416930594,2.1237746286242425
Collège privé Sainte Thérèse,0783301P,college,Bougival,Versailles,Yvelines,Privé,146.4,48.86749041057909,2.136628440998774
Ecole 2D degré général privée de Perceval,0783355Y,lycee,Chatou,Versailles,Yvelines,Privé,,48.88808871718194,2.1591685523026043
Collège Ariane,0783378Y,college,Guyancourt,Versailles,Yvelines,Public,107.4,48.76732595356997,2.0691647170801737
Collège de la Montcient,0783464S,college,Gaillon-sur-Montcient,Versailles,Yvelines,Public,117.8,49.0136820717132,1.9027134071964416
Ecole d'enseignement technologique privée Sportifs de Haut Niveau,0783504K,lycee,Poissy,Versailles,Yvelines,Privé,,48.91458673267256,2.015940557062717
Lycée professionnel privé Notre Dame,0783537W,lycee,Mantes-la-Jolie,Versailles,Yvelines,Privé,123.4,48.99136827493984,1.7114321486935469
Collège Franco Allemand,0783546F,college,Buc,Versailles,Yvelines,Public,161.9,48.771206023579325,2.121518210114789
Collège privé Samarcande,0783592F,college,Montigny-le-Bretonneux,Versailles,Yvelines,Privé,112.9,48.7767140798648,2.0152703211184564
Ecole 2D degré général privée Cours Marie des Lys,0783608Y,lycee,Saint-Cyr-l'Ecole,Versailles,Yvelines,Privé,,48.798974469217605,2.0716891446611694
