link_id,code,label,mathadata_id,mathadata_title,resource_slug,date_paris,window_start,window_end,visits,unique_visits,clicks,scans,extracted_at
368b3e07-48f8-4e8d-a63d-af498fe9adb6,w9RWJk,basthon:stats-moyenne-histogramme-mnist,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,stats-moyenne-histogramme-mnist,2026-02-16,2026-02-16T00:00:00+01:00,2026-02-17T00:00:00+01:00,32,2,32,0,2026-06-25T22:43:59+02:00
368b3e07-48f8-4e8d-a63d-af498fe9adb6,w9RWJk,basthon:stats-moyenne-histogramme-mnist,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,stats-moyenne-histogramme-mnist,2026-02-18,2026-02-18T00:00:00+01:00,2026-02-19T00:00:00+01:00,30,2,30,0,2026-06-25T22:43:59+02:00
368b3e07-48f8-4e8d-a63d-af498fe9adb6,w9RWJk,basthon:stats-moyenne-histogramme-mnist,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,stats-moyenne-histogramme-mnist,2026-03-01,2026-03-01T00:00:00+01:00,2026-03-02T00:00:00+01:00,1,1,1,0,2026-06-25T22:43:59+02:00
368b3e07-48f8-4e8d-a63d-af498fe9adb6,w9RWJk,basthon:stats-moyenne-histogramme-mnist,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,stats-moyenne-histogramme-mnist,2026-03-03,2026-03-03T00:00:00+01:00,2026-03-04T00:00:00+01:00,8,1,8,0,2026-06-25T22:43:59+02:00
368b3e07-48f8-4e8d-a63d-af498fe9adb6,w9RWJk,basthon:stats-moyenne-histogramme-mnist,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,stats-moyenne-histogramme-mnist,2026-03-09,2026-03-09T00:00:00+01:00,2026-03-10T00:00:00+01:00,16,1,16,0,2026-06-25T22:43:59+02:00
368b3e07-48f8-4e8d-a63d-af498fe9adb6,w9RWJk,basthon:stats-moyenne-histogramme-mnist,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,stats-moyenne-histogramme-mnist,2026-03-12,2026-03-12T00:00:00+01:00,2026-03-13T00:00:00+01:00,25,2,25,0,2026-06-25T22:43:59+02:00
368b3e07-48f8-4e8d-a63d-af498fe9adb6,w9RWJk,basthon:stats-moyenne-histogramme-mnist,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,stats-moyenne-histogramme-mnist,2026-03-14,2026-03-14T00:00:00+01:00,2026-03-15T00:00:00+01:00,1,1,1,0,2026-06-25T22:43:59+02:00
368b3e07-48f8-4e8d-a63d-af498fe9adb6,w9RWJk,basthon:stats-moyenne-histogramme-mnist,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,stats-moyenne-histogramme-mnist,2026-03-16,2026-03-16T00:00:00+01:00,2026-03-17T00:00:00+01:00,19,2,19,0,2026-06-25T22:43:59+02:00
368b3e07-48f8-4e8d-a63d-af498fe9adb6,w9RWJk,basthon:stats-moyenne-histogramme-mnist,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,stats-moyenne-histogramme-mnist,2026-03-23,2026-03-23T00:00:00+01:00,2026-03-24T00:00:00+01:00,19,1,19,0,2026-06-25T22:43:59+02:00
368b3e07-48f8-4e8d-a63d-af498fe9adb6,w9RWJk,basthon:stats-moyenne-histogramme-mnist,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,stats-moyenne-histogramme-mnist,2026-03-24,2026-03-24T00:00:00+01:00,2026-03-25T00:00:00+01:00,14,1,14,0,2026-06-25T22:43:59+02:00
368b3e07-48f8-4e8d-a63d-af498fe9adb6,w9RWJk,basthon:stats-moyenne-histogramme-mnist,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,stats-moyenne-histogramme-mnist,2026-03-25,2026-03-25T00:00:00+01:00,2026-03-26T00:00:00+01:00,1,1,1,0,2026-06-25T22:43:59+02:00
368b3e07-48f8-4e8d-a63d-af498fe9adb6,w9RWJk,basthon:stats-moyenne-histogramme-mnist,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,stats-moyenne-histogramme-mnist,2026-03-26,2026-03-26T00:00:00+01:00,2026-03-27T00:00:00+01:00,28,4,28,0,2026-06-25T22:43:59+02:00
368b3e07-48f8-4e8d-a63d-af498fe9adb6,w9RWJk,basthon:stats-moyenne-histogramme-mnist,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,stats-moyenne-histogramme-mnist,2026-03-30,2026-03-30T00:00:00+02:00,2026-03-31T00:00:00+02:00,2,1,2,0,2026-06-25T22:43:59+02:00
368b3e07-48f8-4e8d-a63d-af498fe9adb6,w9RWJk,basthon:stats-moyenne-histogramme-mnist,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,stats-moyenne-histogramme-mnist,2026-03-31,2026-03-31T00:00:00+02:00,2026-04-01T00:00:00+02:00,2,2,2,0,2026-06-25T22:43:59+02:00
368b3e07-48f8-4e8d-a63d-af498fe9adb6,w9RWJk,basthon:stats-moyenne-histogramme-mnist,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,stats-moyenne-histogramme-mnist,2026-04-01,2026-04-01T00:00:00+02:00,2026-04-02T00:00:00+02:00,1,1,1,0,2026-06-25T22:43:59+02:00
368b3e07-48f8-4e8d-a63d-af498fe9adb6,w9RWJk,basthon:stats-moyenne-histogramme-mnist,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,stats-moyenne-histogramme-mnist,2026-04-04,2026-04-04T00:00:00+02:00,2026-04-05T00:00:00+02:00,2,1,2,0,2026-06-25T22:43:59+02:00
368b3e07-48f8-4e8d-a63d-af498fe9adb6,w9RWJk,basthon:stats-moyenne-histogramme-mnist,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,stats-moyenne-histogramme-mnist,2026-04-06,2026-04-06T00:00:00+02:00,2026-04-07T00:00:00+02:00,1,1,1,0,2026-06-25T22:43:59+02:00
368b3e07-48f8-4e8d-a63d-af498fe9adb6,w9RWJk,basthon:stats-moyenne-histogramme-mnist,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,stats-moyenne-histogramme-mnist,2026-04-07,2026-04-07T00:00:00+02:00,2026-04-08T00:00:00+02:00,8,1,8,0,2026-06-25T22:43:59+02:00
368b3e07-48f8-4e8d-a63d-af498fe9adb6,w9RWJk,basthon:stats-moyenne-histogramme-mnist,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,stats-moyenne-histogramme-mnist,2026-04-08,2026-04-08T00:00:00+02:00,2026-04-09T00:00:00+02:00,5,5,5,0,2026-06-25T22:43:59+02:00
368b3e07-48f8-4e8d-a63d-af498fe9adb6,w9RWJk,basthon:stats-moyenne-histogramme-mnist,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,stats-moyenne-histogramme-mnist,2026-04-09,2026-04-09T00:00:00+02:00,2026-04-10T00:00:00+02:00,14,3,14,0,2026-06-25T22:43:59+02:00
368b3e07-48f8-4e8d-a63d-af498fe9adb6,w9RWJk,basthon:stats-moyenne-histogramme-mnist,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,stats-moyenne-histogramme-mnist,2026-04-10,2026-04-10T00:00:00+02:00,2026-04-11T00:00:00+02:00,1,1,1,0,2026-06-25T22:43:59+02:00
368b3e07-48f8-4e8d-a63d-af498fe9adb6,w9RWJk,basthon:stats-moyenne-histogramme-mnist,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,stats-moyenne-histogramme-mnist,2026-04-21,2026-04-21T00:00:00+02:00,2026-04-22T00:00:00+02:00,1,1,1,0,2026-06-25T22:43:59+02:00
368b3e07-48f8-4e8d-a63d-af498fe9adb6,w9RWJk,basthon:stats-moyenne-histogramme-mnist,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,stats-moyenne-histogramme-mnist,2026-04-22,2026-04-22T00:00:00+02:00,2026-04-23T00:00:00+02:00,1,1,1,0,2026-06-25T22:43:59+02:00
368b3e07-48f8-4e8d-a63d-af498fe9adb6,w9RWJk,basthon:stats-moyenne-histogramme-mnist,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,stats-moyenne-histogramme-mnist,2026-04-26,2026-04-26T00:00:00+02:00,2026-04-27T00:00:00+02:00,1,1,1,0,2026-06-25T22:43:59+02:00
368b3e07-48f8-4e8d-a63d-af498fe9adb6,w9RWJk,basthon:stats-moyenne-histogramme-mnist,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,stats-moyenne-histogramme-mnist,2026-04-27,2026-04-27T00:00:00+02:00,2026-04-28T00:00:00+02:00,1,1,1,0,2026-06-25T22:43:59+02:00
368b3e07-48f8-4e8d-a63d-af498fe9adb6,w9RWJk,basthon:stats-moyenne-histogramme-mnist,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,stats-moyenne-histogramme-mnist,2026-04-30,2026-04-30T00:00:00+02:00,2026-05-01T00:00:00+02:00,3,2,3,0,2026-06-25T22:43:59+02:00
368b3e07-48f8-4e8d-a63d-af498fe9adb6,w9RWJk,basthon:stats-moyenne-histogramme-mnist,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,stats-moyenne-histogramme-mnist,2026-05-01,2026-05-01T00:00:00+02:00,2026-05-02T00:00:00+02:00,1,1,1,0,2026-06-25T22:43:59+02:00
368b3e07-48f8-4e8d-a63d-af498fe9adb6,w9RWJk,basthon:stats-moyenne-histogramme-mnist,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,stats-moyenne-histogramme-mnist,2026-05-03,2026-05-03T00:00:00+02:00,2026-05-04T00:00:00+02:00,1,1,1,0,2026-06-25T22:43:59+02:00
368b3e07-48f8-4e8d-a63d-af498fe9adb6,w9RWJk,basthon:stats-moyenne-histogramme-mnist,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,stats-moyenne-histogramme-mnist,2026-05-08,2026-05-08T00:00:00+02:00,2026-05-09T00:00:00+02:00,1,1,1,0,2026-06-25T22:43:59+02:00
368b3e07-48f8-4e8d-a63d-af498fe9adb6,w9RWJk,basthon:stats-moyenne-histogramme-mnist,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,stats-moyenne-histogramme-mnist,2026-05-14,2026-05-14T00:00:00+02:00,2026-05-15T00:00:00+02:00,1,1,1,0,2026-06-25T22:43:59+02:00
368b3e07-48f8-4e8d-a63d-af498fe9adb6,w9RWJk,basthon:stats-moyenne-histogramme-mnist,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,stats-moyenne-histogramme-mnist,2026-05-15,2026-05-15T00:00:00+02:00,2026-05-16T00:00:00+02:00,2,2,2,0,2026-06-25T22:43:59+02:00
