session_number,activity_id,activity_name,uai,school_name,date,timestamp,time_pattern,nb_students,avg_work_duration_minutes,continuation_rate,home_work_rate,had_second_session,second_session_date,second_session_students,tested_first,days_between_test_and_teaching,is_same_students_as_previous,overlap_rate
1,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,0596925G,Inconnu,2024-12-18,2024-12-18T13:29:31.000Z,afternoon_weekday,8,44,0,0,no,,0,no,,,
2,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,0596925G,Inconnu,2024-12-19,2024-12-19T10:13:44.000Z,morning_weekday,12,22,0,0,no,,0,no,,no,0
3,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,0596925G,Inconnu,2025-01-09,2025-01-09T10:22:41.000Z,morning_weekday,2,37,0,0,no,,0,no,,no,0
4,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,0596925G,Inconnu,2025-01-09,2025-01-09T13:11:12.000Z,afternoon_weekday,1,438,1,1,no,,0,no,,no,0
5,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,0596925G,Inconnu,2025-01-09,2025-01-09T15:23:27.000Z,afternoon_weekday,1,68,1,0,no,,0,no,,no,0
6,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,0596925G,Inconnu,2025-01-09,2025-01-09T17:03:48.000Z,evening_weekday,7,663,0.86,0.86,yes,2025-01-09T19:09:37.000Z,2,no,,no,0
