session_number,activity_id,activity_name,uai,school_name,date,timestamp,time_pattern,nb_students,avg_work_duration_minutes,continuation_rate,home_work_rate,had_second_session,second_session_date,second_session_students,tested_first,days_between_test_and_teaching,is_same_students_as_previous,overlap_rate
1,2548348,Intro � l'IA : classification de chiffres 2 et 7,0310047H,Inconnu,2025-05-09,2025-05-09T07:08:28.000Z,morning_weekday,11,1389,0.09,0.09,no,,0,no,,,
2,5909323,Challenge IA Lyc�e (V2) : codez un r�seau de neurone pour la classification d'images,0310047H,Inconnu,2025-05-09,2025-05-09T07:29:47.000Z,morning_weekday,7,23,0,0,no,,0,no,,,
