session_number,activity_id,activity_name,uai,school_name,date,timestamp,time_pattern,nb_students,avg_work_duration_minutes,continuation_rate,home_work_rate,had_second_session,second_session_date,second_session_students,tested_first,days_between_test_and_teaching,is_same_students_as_previous,overlap_rate
1,2548348,Intro � l'IA : classification de chiffres 2 et 7,9740910W,Inconnu,2025-04-23,2025-04-23T07:46:11.000Z,morning_weekday,9,2,0,0,no,,0,no,,,
2,2548348,Intro � l'IA : classification de chiffres 2 et 7,9740910W,Inconnu,2025-04-25,2025-04-25T09:16:03.000Z,morning_weekday,6,0,0,0,no,,0,no,,no,0
