session_number,activity_id,activity_name,uai,school_name,date,timestamp,time_pattern,nb_students,avg_work_duration_minutes,continuation_rate,home_work_rate,had_second_session,second_session_date,second_session_students,tested_first,days_between_test_and_teaching,is_same_students_as_previous,overlap_rate
1,2548348,Intro � l'IA : classification de chiffres 2 et 7,0310036W,Inconnu,2025-05-19,2025-05-19T14:42:35.000Z,afternoon_weekday,21,562,0.1,0,yes,2025-05-23T11:45:11.000Z,2,no,,,
2,2548348,Intro � l'IA : classification de chiffres 2 et 7,0310036W,Inconnu,2025-05-23,2025-05-23T08:32:40.000Z,morning_weekday,41,19,0,0,no,,0,no,,no,0
