session_number,activity_id,activity_name,uai,school_name,date,timestamp,time_pattern,nb_students,avg_work_duration_minutes,continuation_rate,home_work_rate,had_second_session,second_session_date,second_session_students,tested_first,days_between_test_and_teaching,is_same_students_as_previous,overlap_rate
1,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,0931584S,Inconnu,2025-03-07,2025-03-07T14:49:10.000Z,afternoon_weekday,13,5350,0.77,0,yes,2025-03-12T10:08:33.000Z,10,no,,,
2,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,0931584S,Inconnu,2025-03-12,2025-03-12T10:01:02.000Z,morning_weekday,1,61,1,0,no,,0,no,,no,0
3,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,0931584S,Inconnu,2025-03-19,2025-03-19T08:01:45.000Z,morning_weekday,22,283,0.09,0.09,no,,0,no,,no,0
