session_number,activity_id,activity_name,uai,school_name,date,timestamp,time_pattern,nb_students,avg_work_duration_minutes,continuation_rate,home_work_rate,had_second_session,second_session_date,second_session_students,tested_first,days_between_test_and_teaching,is_same_students_as_previous,overlap_rate
1,2548348,Intro � l'IA : classification de chiffres 2 et 7,0780422K,Inconnu,2025-04-10,2025-04-10T06:39:45.000Z,morning_weekday,10,13,0,0,no,,0,no,,,
2,2548348,Intro � l'IA : classification de chiffres 2 et 7,0780422K,Inconnu,2025-05-19,2025-05-19T12:33:05.000Z,afternoon_weekday,27,18,0.04,0,no,,0,no,,no,0
3,2548348,Intro � l'IA : classification de chiffres 2 et 7,0780422K,Inconnu,2025-05-21,2025-05-21T06:56:05.000Z,morning_weekday,1,119,1,0,no,,0,no,,no,0
