session_number,activity_id,activity_name,uai,school_name,date,timestamp,time_pattern,nb_students,avg_work_duration_minutes,continuation_rate,home_work_rate,had_second_session,second_session_date,second_session_students,tested_first,days_between_test_and_teaching,is_same_students_as_previous,overlap_rate
1,2548348,Intro � l'IA : classification de chiffres 2 et 7,0080804F,Inconnu,2024-05-30,2024-05-30T07:19:40.000Z,morning_weekday,10,3663,0.6,0,yes,2024-06-04T08:54:34.000Z,5,no,,,
2,2548348,Intro � l'IA : classification de chiffres 2 et 7,0080804F,Inconnu,2024-05-30,2024-05-30T09:12:41.000Z,morning_weekday,2,24,0,0,no,,0,no,,no,0
