session_number,activity_id,activity_name,uai,school_name,date,timestamp,time_pattern,nb_students,avg_work_duration_minutes,continuation_rate,home_work_rate,had_second_session,second_session_date,second_session_students,tested_first,days_between_test_and_teaching,is_same_students_as_previous,overlap_rate
1,2548348,Intro � l'IA : classification de chiffres 2 et 7,0910625K,Inconnu,2025-06-04,2025-06-04T06:47:31.000Z,morning_weekday,10,15,0,0,no,,0,no,,,
2,2548348,Intro � l'IA : classification de chiffres 2 et 7,0910625K,Inconnu,2025-06-06,2025-06-06T13:12:24.000Z,afternoon_weekday,11,25,0,0,no,,0,no,,no,0
3,3515488,MathAData - G�om�trie du plan (�quation r�duite de droite) pour la classification d'images de chiffres - 2nde,0910625K,Inconnu,2025-06-06,2025-06-06T14:16:46.000Z,afternoon_weekday,5,0,0,0,no,,0,no,,,
4,3515488,MathAData - G�om�trie du plan (�quation r�duite de droite) pour la classification d'images de chiffres - 2nde,0910625K,Inconnu,2025-06-10,2025-06-10T08:49:03.000Z,morning_weekday,12,17,0,0,no,,0,no,,no,0
