uai,nom,type_etab,secteur,academie,departement,commune,ips,lat,lon,n_profs,n_profs_taught,n_profs_tested_only,n_eleves,n_eleves_uniq,n_sessions,n_tests,sy_set
0920137Z,Lycée général et technologique Guy de Maupassant,lycee,Public,Versailles,Hauts-de-Seine,Colombes,95.7,48.92798435958031,2.2414423985323815,1,1,0,2,2,1,0,2025-2026
0921399W,Lycée général et technologique Maurice Genevoix,lycee,Public,Versailles,Hauts-de-Seine,Montrouge,106.1,48.81052663525963,2.3229896222976945,1,1,0,21,12,2,0,2025-2026
0922579D,Ecole de danse de l'Opéra de Paris,college,Public,Versailles,Hauts-de-Seine,Nanterre,146.2,48.894126740321205,2.2206979150698913,1,1,0,13,13,1,0,2025-2026
0922801V,Lycée général et technologique Simone Veil,lycee,Public,Versailles,Hauts-de-Seine,Boulogne-Billancourt,120.3,48.82698608047683,2.2417255523005926,1,1,0,23,23,2,0,2025-2026
0930119Z,Lycée polyvalent Eugène Delacroix,lycee,Public,Créteil,Seine-Saint-Denis,Drancy,82.3,48.92500721472923,2.457936453412501,1,1,0,1,1,1,0,2025-2026
0930120A,Lycée général et technologique Jacques Feyder,lycee,Public,Créteil,Seine-Saint-Denis,Epinay-sur-Seine,85.3,48.95509744548008,2.320839880589892,1,1,0,11,11,3,0,2025-2026
0930122C,Lycée général et technologique Condorcet,lycee,Public,Créteil,Seine-Saint-Denis,Montreuil,96.4,48.85750093339525,2.445528654993236,1,1,0,4,4,1,0,2025-2026
0930124E,Lycée général et technologique Marcelin Berthelot,lycee,Public,Créteil,Seine-Saint-Denis,Pantin,86.5,48.90541136947215,2.394260520870352,1,1,0,36,36,1,0,2024-2025
0930833A,Lycée enseignement général et technologique Jean Zay,lycee,Public,Créteil,Seine-Saint-Denis,Aulnay-sous-Bois,93.0,48.936149484824476,2.5034290582623515,1,1,0,8,8,2,1,2025-2026
0930834B,Lycée général et technologique Voillaume,lycee,Public,Créteil,Seine-Saint-Denis,Aulnay-sous-Bois,81.9,48.94454426421222,2.5082514034395587,1,0,1,0,0,0,3,2023-2024|2024-2025|2025-2026
0931430Z,Lycée général et technologique Jacques Brel,lycee,Public,Créteil,Seine-Saint-Denis,La Courneuve,80.8,48.929624886331744,2.400326472996749,1,1,0,26,26,1,1,2025-2026
0931584S,Lycée polyvalent Jean Rostand,lycee,Public,Créteil,Seine-Saint-Denis,Villepinte,89.4,48.96013097773987,2.5465449256491284,1,1,0,56,48,7,0,2024-2025|2025-2026
0932726H,Collège Miriam Makeba,college,Public,Créteil,Seine-Saint-Denis,Aubervilliers,88.7,48.909751896587984,2.37182835635895,1,1,0,9,9,1,1,2025-2026
0940116R,Lycée général et technologique Eugène Delacroix,lycee,Public,Créteil,Val-de-Marne,Maisons-Alfort,119.7,48.810789057415114,2.4259112918900176,1,1,0,36,36,3,1,2025-2026
0940126B,Lycée polyvalent Maximilien Perret,lycee,Public,Créteil,Val-de-Marne,Alfortville,92.6,48.78664176268498,2.4237637613102048,1,0,1,0,0,0,2,2025-2026
0940580V,Lycée Polyvalent de Cachan,lycee,Public,Créteil,Val-de-Marne,Cachan,107.3,48.78867682535173,2.324774506773462,1,0,1,0,0,0,1,2025-2026
0940742W,Lycée polyvalent Guillaume Budé,lycee,Public,Créteil,Val-de-Marne,Limeil-Brévannes,103.1,48.743740806816575,2.510720424025152,1,1,0,5,5,2,0,2023-2024
0942269F,Lycée polyvalent Pauline Roland - Lycée des métiers du transport et de la logistique,lycee,Public,Créteil,Val-de-Marne,Chevilly-Larue,97.3,48.77285638144974,2.3401106946732,1,1,0,25,25,2,0,2025-2026
0950650R,Lycée polyvalent Jean-Jacques Rousseau,lycee,Public,Versailles,Val-d'Oise,Sarcelles,81.4,48.99399330190295,2.3847513006085923,2,2,0,36,36,3,1,2025-2026
0951710T,"Lycée polyvalent Camille Claudel, lycée des métiers des arts et du design",lycee,Public,Versailles,Val-d'Oise,Vauréal,119.1,49.033255991192725,2.02202841753786,2,2,0,45,45,5,0,2024-2025
0951723G,Lycée général et technologique Montesquieu,lycee,Public,Versailles,Val-d'Oise,Herblay-sur-Seine,121.4,48.99997501055952,2.146164327176315,1,1,0,28,25,3,1,2023-2024|2024-2025
0951756T,Lycée polyvalent Jules Verne,lycee,Public,Versailles,Val-d'Oise,Cergy,111.0,49.051789998059235,2.0098298991653794,1,1,0,6,6,1,0,2025-2026
0951763A,"Lycée polyvalent Louis Jouvet, Lycée des métiers de la santé et du social",lycee,Public,Versailles,Val-d'Oise,Taverny,107.8,49.019492050995524,2.2086035848039076,1,1,0,9,9,4,1,2023-2024
0951788C,Lycée polyvalent George Sand,lycee,Public,Versailles,Val-d'Oise,Domont,116.2,49.027078954616286,2.3396725120879878,1,1,0,95,95,7,0,2025-2026
0952284S,Lycée général et technologique Philippe Kieffer,lycee,Public,Versailles,Val-d'Oise,Cormeilles-en-Parisis,123.9,48.960228892758956,2.1872984545003415,1,1,0,4,4,1,0,2024-2025
1340005C,,,,,,,,,,1,1,0,36,36,6,41,2024-2025|2025-2026
2050024M,,,,,,,,,,1,1,0,7,7,1,1,2024-2025
2200001F,,,,,,,,,,1,0,1,0,0,0,16,2025-2026
2430001F,,,,,,,,,,2,0,2,0,0,0,16,2025-2026
3510003W,,,,,,,,,,1,1,0,31,31,13,11,2024-2025|2025-2026
9840001D,LYCEE DE UTUROA,lycee,Public,Polynésie Française,Polynésie Française,Uturoa,,,,1,1,0,5,5,2,0,2025-2026
9840002E,Lycée général Paul Gauguin,lycee,Public,Polynésie Française,Polynésie Française,Papeete,,,,4,4,0,103,76,10,4,2024-2025|2025-2026
9840004G,,,,,,,,,,1,1,0,1,1,1,0,2024-2025
9840024D,LYCEE POLYVALENT Ihi-tea no Vavau,lycee,Public,Polynésie Française,Polynésie Française,Bora-bora,,,,1,1,0,30,30,2,0,2024-2025
X,,,,,,,,,,1,1,0,15,15,2,0,2024-2025
